open,loc_name,loc_address,loc_number,loc_lat,loc_lng
영업중,휘트니스 트리,"서울특별시 광진구 천호대로 646, 지하1층 (능동, 능동나이스빌딩)",,37.55292185426153,127.08567404077775
영업중,타운케이 휘트니스,서울특별시 광진구 뚝섬로 632 (자양동),02)412-4839,37.531757677955156,127.07684390257393
영업중,이루어짐 구의점,"서울특별시 광진구 구의로 3, 2층 (구의동, 쌍용빌딩)",02-453-2657,37.53830968908326,127.08600579810093
영업중,맥스토탈휘트니스,"서울특별시 광진구 아차산로 241, 6층 (화양동, 연한빌딩)",02-2201-0157,37.540646792348,127.06727399467282
영업중,SAP,"서울특별시 광진구 동일로 190, 비02호 (군자동)",,37.54944275930526,127.0655316312142
영업중,시너지휘트니스,"서울특별시 광진구 광나루로 346, 2층 (화양동, 브라운스톤화양)",02)466-6555,37.547994203961004,127.065664255006
영업중,휘트니스파크,"서울특별시 광진구 능동로 259  (군자동,지하)",551-2082,37.55335573898379,127.07415750079733
영업중,건국AMC The Classic 500,"서울특별시 광진구 능동로 90, 4층 (자양동, 더클래식500)",2218-5530,37.538788622405434,127.06824670604945
영업중,나다헬스,"서울특별시 광진구 능동로4길 17, 3층 (자양동, 원우상가)",4587704,37.533423385512805,127.06591437481235
영업중,커브스구의클럽,"서울특별시 광진구 아차산로 481, 3층 (구의동)",,37.54093677083591,127.09209521882944
영업중,마크짐 휘트니스 - 강변역점,"서울특별시 광진구 구의강변로 45, 5층 (구의동, 구의동 복합빌딩)",02-455-8555,37.53498208242247,127.0883656324104
영업중,원모어 퍼스널트레이닝 스튜디오,"서울특별시 광진구 광나루로17길 10  (군자동,3층)",,37.54813045739354,127.06997292993108
영업중,초콜렛 휘트니스(무단폐업),서울특별시 광진구 광나루로 566 (구의동),458-9999,37.54392230839757,127.08924231458403
영업중,웰플러스,"서울특별시 광진구 자양로5길 33 (자양동, 와이엠프라젠스파)",446-2700,37.53090624772537,127.08126340211159
영업중,코엑스짐 중곡점,"서울특별시 광진구 용마산로 44, 5층 (중곡동, 삼경빌딩)",444-7554,37.55764909531739,127.08537015574086
영업중,바디 퍼포먼스 짐,서울특별시 광진구 구의강변로 86 (구의동),4533088,37.53813926657715,127.09104269921076
영업중,초콜릿 휘트니스,"서울특별시 광진구 능동로 373, 3층 (중곡동)",453-1546,37.56272521258729,127.07937798496086
영업중,세븐짐 휘트니스,서울특별시 광진구 능동로7길 50 (자양동),02-462-3477,37.53774498662951,127.06352475012842
영업중,바디퍼포먼스 짐,"서울특별시 광진구 천호대로 548, 지하1층 (군자동)",465-9679,37.55688795919746,127.07595106558156
영업중,아크로짐 구의점,"서울특별시 광진구 광나루로 604, 지하1층 (구의동, 진넥스 베르디엠)",02-3437-9981,37.54157315453245,127.09201994095677
영업중,비터스윗코리아,"서울특별시 광진구 구의강변로 106, 101동 지하1층 114(113호일부포함)호 (구의동, 삼성쉐르빌)",02-456-4455,37.539900499415644,127.0919290992514
영업중,제이 퍼스널 트레이닝 스튜디오,"서울특별시 광진구 아차산로 477, 지하1층 (구의동)",,37.54073237560138,127.09179176421637
영업중,이지피티스튜디오,"서울특별시 광진구 구의강변로 106, 2층 201호 (구의동, 삼성쉐르빌)",02-444-3322,37.539900499415644,127.0919290992514
영업중,크로스핏 라온,"서울특별시 광진구 아차산로 294 (자양동, 지하1층)",,37.538213787356604,127.07265664305137
영업중,골프베이휘트니스,"서울특별시 광진구 자양로 109 (자양동, 구의현대홈시티 지하 101호)",02-455-5006,37.537425099801254,127.08017902694526
영업중,시티짐 군자 필라테스&헬스,"서울특별시 광진구 군자로 70, 2층 (군자동, 동일흥업주식회사)",02-461-7048,37.549207975102775,127.06820335744801
영업중,휘트니스 타운케이,"서울특별시 광진구 능동로13길 39 (화양동, 한아름쇼핑센타 건물 2층)",02-468-0006,37.54350264661167,127.0670102433251
영업중,캐리스타 휘트니스(CALISTA FITNESS),"서울특별시 광진구 능동로 7, 2층 (자양동)",02-461-9679,37.53231830836549,127.06384302656976
영업중,맥 클라우드,"서울특별시 광진구 아차산로 355, 3층 (자양동)",02-452-3555,37.53713959078562,127.07962261519896
영업중,핏앤다이어트 30분순환운동,서울특별시 광진구 자양로15길 31 (자양동),,37.53546314030539,127.07900052260274
영업중,몸가짐 퍼스널트레이닝,"서울특별시 광진구 광나루로 396, 3층 (화양동)",02-499-8600,37.547206332492706,127.07068485970748
영업중,Choi's Body Balance,서울특별시 광진구 자양로18길 67 (구의동),,37.53843946964031,127.0844571289706
영업중,NX PT STUDIO,"서울특별시 광진구 뚝섬로 656, 2층 (자양동)",446-3390,37.53130214772593,127.0794738676145
영업중,2MR 휘트니스,"서울특별시 광진구 능동로 268, 2층 (능동)",02-3437-4321,37.553851788800976,127.07515369335724
영업중,휘트니스 에이치투,"서울특별시 광진구 능동로19길 57, 3층 301호 (화양동)",,37.54736643050125,127.0676205139691
영업중,휘트니스베이 24시 건대점,"서울특별시 광진구 능동로19길 35, 지하3층 (화양동)",024447729,37.54706753963607,127.06895087299733
영업중,노경우 퍼스널 트레이닝,"서울특별시 광진구 아차산로 484, 지하1층 (구의동)",,37.54072436525963,127.09278149706367
영업중,BODY119(바디119),"서울특별시 광진구 아차산로 599 (광장동, 광장동 신동아 파밀리에)",,37.546935338277365,127.10194369008043
영업중,비바 휘트니스,"서울특별시 광진구 뚝섬로 585 (자양동, 신축빌딩)",0234363912,37.53368483017739,127.07221091486261
영업중,제이바디웍스,"서울특별시 광진구 아차산로 438, 지하1층 (구의동)",,37.53818132114983,127.08846366082508
영업중,몸가짐 PT&필라테스,"서울특별시 광진구 천호대로111길 9, 2, 3층 (중곡동)",,37.55692137968643,127.07909409185986
영업중,드바디샵,"서울특별시 광진구 광나루로56길 34, 구의현대2단지 상가동 304호 (구의동)",,37.538627474248706,127.09298400951184
영업중,크로스핏 팀앤디,"서울특별시 광진구 광나루로 582, 지층 (구의동, 세종빌딩)",02-6052-6575,37.543085842011386,127.0904750277149
영업중,휘트니스우먼,"서울특별시 광진구 동일로30길 23, 지층 (화양동, 케이타워오피스텔B)",02-462-6656,37.54768982182632,127.06571001808138
영업중,더테라 휘트니스,"서울특별시 광진구 뚝섬로 742, 지하2층 (구의동, 광성빌딩)",02-446-0117,37.534204272397695,127.08848403763994
영업중,원모어핏,"서울특별시 광진구 광나루로 586, 6층 (구의동)",02-453-5453,37.54286262924356,127.0908524402298
영업중,주식회사 헬스보이컴퍼니,"서울특별시 광진구 아차산로 272, 더샵스타시티 지하1층 (자양동)",,37.53780313525985,127.06974203287463
영업중,바디케어짐,"서울특별시 광진구 천호대로 805, 석원빌딩 4층 (광장동)",,37.54574299720851,127.10037832634168
영업중,피트니스 아레나,"서울특별시 광진구 아차산로 563, 대한제지(주) 사옥 지하2층 (광장동)",02-444-9500,37.544062767018886,127.10000214554894
영업중,조승호 아톰 휘트니스 PT,"서울특별시 광진구 광나루로 352, 2층 202호 (화양동)",,37.547988590791746,127.06591094724175
영업중,Youn-A PT샵,"서울특별시 광진구 천호대로 666, 3층 302호 (구의동)",,37.55135597496074,127.08645587434633
영업중,커브스 자양클럽,"서울특별시 광진구 뚝섬로 558, 대양빌딩 405호 (자양동)",02-454-3033,37.53407280712721,127.06893753334923
영업중,앨리스 핏,"서울특별시 광진구 광나루로 531, 3층 (구의동)",,37.545126842375545,127.08578581424997
영업중,지니 짐,"서울특별시 광진구 능동로 315, 3층 (중곡동)",,37.55787568827049,127.07667197364947
영업중,더블핏(Double Fit),"서울특별시 광진구 뚝섬로56가길 13, 현대3차 301동앞 상가 301호 (자양동)",024559581,37.528579585094406,127.08055668018571
영업중,에프에이스포츠,"서울특별시 광진구 능동로 255, B01호 (군자동)",02-2205-1317,37.552937633585834,127.0740093147061
영업중,스포니스,"서울특별시 광진구 능동로 276, 한성빌딩 지하1층 101호 (능동)",,37.5544696678477,127.07544243190922
영업중,스포츠컨디셔닝센터 FMETS & D.FLAB,"서울특별시 광진구 동일로22길 35, 지하1층 (화양동)",,37.54216047728535,127.06341687786833
영업중,A2GYM(에이투짐),"서울특별시 광진구 뚝섬로 523, 보은빌딩 지하 1층 (자양동)",,37.535567872469144,127.06530088167823
영업중,퍼스트 핏(FIRST FIT),"서울특별시 광진구 광나루로56길 66, 강변상가 (구의동)",,37.534495194630324,127.08829903519373
영업중,크로스핏 라온2,"서울특별시 광진구 용마산로 36, 지층 (중곡동)",02-457-0528,37.556781891576804,127.0854801936155
영업중,삼손스포츠수기명가,"서울특별시 광진구 아차산로65길 14, B1층 (구의동)",,37.54104793035809,127.09119925960712
영업중,토니바디&PT 중곡점,"서울특별시 광진구 능동로 405, 2층 (중곡동)",02-6401-6669,37.56532799135791,127.08084827429936
영업중,스튜디오 클라라,"서울특별시 광진구 능동로 21, 2층 (자양동)",02-498-1010,37.53350226828237,127.06439333207909
영업중,브라운 휘트니스,"서울특별시 광진구 광나루로 346, 2층 (화양동, 브라운스톤 화양)",02-6401-6400,37.547994203961004,127.065664255006
영업중,르와짐,"서울특별시 광진구 아차산로 532, 6층 (광장동)",,37.542399234273695,127.097572485397
영업중,몸가짐 휘트니스 구의점,"서울특별시 광진구 자양로18길 33, 2층 (구의동)",02-444-2626,37.53805235673727,127.08248328197938
영업중,에이투짐(A2GYM),"서울특별시 광진구 자양번영로 28, 지하1층 (자양동)",02-6448-2282,37.53216048951375,127.07272392407117
영업중,군자역점 스포애니 주)케이디스포츠,"서울특별시 광진구 능동로 332, 동아빌딩 5,6,7층 (중곡동)",,37.55913337918555,127.07794648535524
영업중,휘트니스베이24시 건대역점,"서울특별시 광진구 동일로18길 107, 지하2층 (자양동)",02-486-8887,37.53835511113889,127.06579510663052
영업중,(주)비스코 헬스케어,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 12층 001호 (구의동)",02-3424-4455,37.53569970282164,127.09287476235619
영업중,에이투짐,"서울특별시 광진구 자양로 65, 지하1층 (자양동)",,37.5336308126094,127.08147411556251
영업중,구의역점 스포애니 주)케이디스포츠,"서울특별시 광진구 아차산로 362, 3,4,5층 (자양동)",,37.53635222356971,127.08002234946561
영업중,짐에잇,"서울특별시 광진구 자양번영로 19, 지하1층 (자양동)",,37.53138931165851,127.07201439273129
영업중,클레어 필라테스&PT 건대점,"서울특별시 광진구 아차산로 292, 7층 (자양동)",,37.53832592134188,127.07239806398209
영업중,피티니스,"서울특별시 광진구 동일로24길 86, 지층 (화양동)",02-499-9682,37.5425541007562,127.0666979606465
영업중,더프라임PT,"서울특별시 광진구 광나루로56길 63, 프라임 프라자 2층 206호 (구의동)",070-8885-0303,37.53739770605888,127.0947310110651
영업중,이너라인 GYM,"서울특별시 광진구 천호대로 531-1, 지하1층 (중곡동)",,37.55827965011034,127.07481304650106
영업중,마일로짐,"서울특별시 광진구 뚝섬로 541, 지하1층 B101호 (자양동)",02-6949-4950,37.53491932032319,127.06748755942722
영업중,우리동네 PT샵,"서울특별시 광진구 동일로24길 18-1, 지하1층 (화양동)",,37.54371175361139,127.06328705588298
영업중,해부학적 운동 군자점,"서울특별시 광진구 능동로36길 25, 웅래빌딩 5층 (능동)",,37.55602234930532,127.07768655181916
영업중,정스짐,"서울특별시 광진구 아차산로 453, 2층 (구의동)",02-455-0684,37.53940110944812,127.08950497458746
영업중,임스타핏,"서울특별시 광진구 능동로 324-1, 3층 (중곡동)",,37.55854123179093,127.0775738692154
영업중,원더바디핏,서울특별시 광진구 자양로 138 (구의동),,37.53999872809446,127.08059854418335
영업중,토니바디W,"서울특별시 광진구 긴고랑로 115, 2,3층 (중곡동)",,37.55933040135175,127.08504783698778
영업중,토니바디&PT 자양점,"서울특별시 광진구 뚝섬로52길 20, 지하1층 (자양동)",,37.531161548299565,127.07613851285595
영업중,어반더핏,"서울특별시 광진구 뚝섬로 741, 2층 (구의동)",,37.534495194630324,127.08829903519373
영업중,도움pt,"서울특별시 광진구 자양로18길 5, 4층 (구의동)",,37.53759566149917,127.0809502187784
영업중,스포니스 화양점,"서울특별시 광진구 능동로19길 57, 3층 (화양동)",02-466-0432,37.54736643050125,127.0676205139691
영업중,W PT STUDIO,"서울특별시 광진구 아차산로 635, 한수상가 3층 11호 (광장동)",,37.550524875009046,127.10366135771271
영업중,던전짐,"서울특별시 광진구 영화사로 37-1, 지하1층 (중곡동)",,37.55655770993944,127.08833743290415
영업중,coworker(코워커),"서울특별시 광진구 광나루로 531, 지층 (구의동)",,37.545126842375545,127.08578581424997
영업중,클레어 웰니스 스튜디오 건대점,"서울특별시 광진구 아차산로 292, 모아빌딩 2층 (자양동)",,37.53832592134188,127.07239806398209
영업중,토니바디PT& 건대점,"서울특별시 광진구 능동로7길 50, 재화빌딩 3층 (자양동)",,37.53774498662951,127.06352475012842
영업중,휘트니스피플우먼 건대점,"서울특별시 광진구 아차산로 207, 선일빌딩 3층 (화양동)",02-462-3912,37.541551033889036,127.06385894710412
영업중,Must run 스피드 트레이닝 센터,"서울특별시 광진구 자양로 46, 지하1층 (자양동)",,37.53223850554502,127.08308919704089
영업중,투에스짐,"서울특별시 광진구 자양로 281, 누리빌딩 4층 (구의동)",02-446-7787,37.551089816653054,127.08858099005155
영업중,피트니즈 자양점,"서울특별시 광진구 뚝섬로 607, 3층 (자양동)",02-455-7722,37.53288946232927,127.07441614296481
영업중,블랙스짐,"서울특별시 광진구 용마산로 110, 토끼빌딩 2층 (중곡동)",,37.563393647590786,127.08433673636479
영업중,몸가짐휘트니스 건대입구점,"서울특별시 광진구 아차산로 208, 상록빌딩 3층 (자양동)",02-465-9500,37.541041244244035,127.06357921709856
